Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
(2016 WG),2096-06-23.12,0.00000019,45.43,-5.74,0,bK16W00G,560000000,0.075,23.3
(2000 WJ107),2114-11-19.98,0.0000004,23.87,-5.74,0,bK00WA7J,700000000,0.081,23.1
(2020 AO1),2049-01-13.72,0.00000015,15.97,-5.74,0,bK20A01O,320000000,0.062,23.7
(2017 NT5),2115-01-12.24,0.00000018,61.91,-5.75,0,bK17N05T,980000000,0.09,22.9
(2014 JU79),2050-09-18.52,0.00000013,20.03,-5.76,0,bK14J79U,1100000000,0.092,22.8
(2008 UB7),2081-11-01.11,0.00000035,14.56,-5.76,0,bK08U07B,260000000,0.058,23.8
(2013 WM),2105-11-20.29,0.00000024,36.06,-5.77,0,bK13W00M,220000000,0.055,23.9
(2016 WG),2096-06-23.12,0.00000018,45.37,-5.77,0,bK16W00G,560000000,0.075,23.3
(2000 WJ107),2114-11-19.98,0.00000034,23.92,-5.8,0,bK00WA7J,700000000,0.081,23.1
(2008 EX5),2074-10-09.49,0.00000048,7.166,-5.82,0,bK08E05X,270000000,0.059,23.8
(2022 OK5),2120-08-02.71,0.00000026,33.47,-5.83,0,bK22O05K,610000000,0.077,23.2
(2022 KV6),2070-05-27.42,0.00000019,19.96,-5.84,0,bK22K06V,220000000,0.055,24
(2024 HJ),2099-04-24.77,0.000000009,1508,-5.86,0,bK24H00J,13000000000,0.21,21
(2017 NT5),2107-01-12.50,0.00000013,61.94,-5.86,0,bK17N05T,980000000,0.09,22.9
(2012 ES10),2059-03-05.46,0.00000011,25.48,-5.87,0,bK12E10S,300000000,0.061,23.7
(2007 FT3),2047-10-03.74,0.0000000018,2590,-5.87,0,bK07F03T,54000000000,0.341,20
(2022 VF1),2071-05-30.38,0.000000041,119.8,-5.88,0,bK22V01F,2300000000,0.12,22.3
(2007 WP3),2113-11-12.29,0.00000043,13.98,-5.88,0,bK07W03P,400000000,0.067,23.5
(2007 FT3),2105-10-04.45,0.0000000056,2736,-5.89,0,bK07F03T,54000000000,0.341,20
(2007 FT3),2083-10-03.93,0.000000004,2762,-5.9,0,bK07F03T,54000000000,0.341,20
(2020 OB),2121-07-23.66,0.00000025,29.27,-5.9,0,bK20O00B,330000000,0.062,23.7
(2007 FT3),2078-10-03.66,0.0000000036,2744,-5.92,0,bK07F03T,54000000000,0.341,20
(2008 EX5),2079-10-09.76,0.00000038,7.178,-5.96,0,bK08E05X,270000000,0.059,23.8
(2007 FT3),2100-10-04.15,0.0000000046,2688,-5.96,0,bK07F03T,54000000000,0.341,20
(2007 KO4),2045-11-23.47,0.000000055,25.15,-5.96,0,bK07K04O,580000000,0.076,23.3
(2007 WP3),2105-11-12.31,0.00000032,14.06,-5.97,0,bK07W03P,400000000,0.067,23.5
(2023 TB2),2123-09-01.91,0.00000085,5.285,-5.97,0,bK23T02B,260000000,0.058,23.8
(2000 WJ107),2119-11-20.23,0.00000024,23.87,-5.98,0,bK00WA7J,700000000,0.081,23.1
(2023 NQ1),2120-07-09.74,0.00000012,56.66,-5.99,0,bK23N01Q,710000000,0.081,23.1
(2008 EX5),2077-10-09.12,0.00000035,7.173,-5.99,0,bK08E05X,270000000,0.059,23.8
(2000 WJ107),2119-11-20.22,0.00000023,23.96,-5.99,0,bK00WA7J,700000000,0.081,23.1
(2014 HN197),2069-02-22.82,0.0000000017,4270,-6,0,bK14HJ7N,58000000000,0.35,19.9
(2005 NX55),2028-01-06.71,0.0000000012,316.1,-6,0,bK05N55X,3800000000,0.14,21.9
(2016 WG),2096-06-22.95,0.0000001,45.42,-6,0,bK16W00G,560000000,0.075,23.3
(2016 WG),2086-06-23.36,0.000000089,45.17,-6,0,bK16W00G,560000000,0.075,23.3
(2007 FT3),2069-10-03.27,0.0000000025,2605,-6,0,bK07F03T,54000000000,0.341,20
(2000 WJ107),2114-11-19.98,0.00000022,24.05,-6,0,bK00WA7J,700000000,0.081,23.1
