Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
101955 Bennu (1999 RQ36),2188-09-24.21,0.0000001,1421,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2188-09-24.17,0.0000001,1420,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2187-09-24.93,0.0000001,1423,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2187-09-24.92,0.0000001,1422,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2187-09-24.86,0.0000001,1423,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2186-09-24.71,0.0000001,1421,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2186-09-24.57,0.0000001,1420,-5.17,,a0101955,74000000000,0.49,20.6
(2008 EX5),2071-10-09.68,0.000002,7.176,-5.17,0,bK08E05X,270000000,0.059,23.8
(2007 FT3),2035-10-03.82,0.0000000044,2735,-5.17,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2191-09-25.01,0.0000001,1421,-5.18,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2191-09-24.98,0.0000001,1420,-5.18,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2191-09-24.91,0.0000001,1420,-5.18,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.73,0.0000001,1422,-5.18,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.70,0.0000001,1422,-5.18,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.68,0.0000001,1421,-5.18,,a0101955,74000000000,0.49,20.6
(2007 FT3),2030-10-03.42,0.0000000026,2559,-5.18,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2196-09-24.24,0.0000001,1421,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.23,0.0000001,1420,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.22,0.0000001,1421,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.10,0.0000001,1419,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.10,0.0000001,1421,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.10,0.0000001,1420,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.03,0.0000001,1420,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2195-09-24.91,0.0000001,1422,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2195-09-24.89,0.0000001,1421,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2195-09-24.86,0.0000001,1422,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2195-09-24.70,0.0000001,1422,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2194-09-24.69,0.0000001,1420,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2194-09-24.47,0.0000001,1422,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2193-09-24.48,0.0000001,1421,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2193-09-24.44,0.0000001,1421,-5.19,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2193-09-24.40,0.0000001,1420,-5.19,,a0101955,74000000000,0.49,20.6
(1999 RZ31),2056-09-05.11,0.0000014,6.277,-5.2,0,bJ99R31Z,280000000,0.059,23.8
101955 Bennu (1999 RQ36),2200-09-25.17,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2200-09-25.14,0.0000001,1423,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2200-09-25.09,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2200-09-25.08,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2199-09-24.95,0.0000001,1420,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2199-09-24.87,0.0000001,1419,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2198-09-24.70,0.0000001,1422,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2198-09-24.60,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2197-09-24.39,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2197-09-24.36,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2197-09-24.27,0.0000001,1421,-5.2,,a0101955,74000000000,0.49,20.6
(2002 MN),2071-06-15.66,0.0000011,14.56,-5.2,0,bK02M00N,530000000,0.073,23.3
101955 Bennu (1999 RQ36),2204-09-25.19,0.0000001,1421,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2204-09-25.08,0.0000001,1421,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2203-09-25.85,0.0000001,1423,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2203-09-25.83,0.0000001,1421,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2202-09-25.68,0.0000001,1419,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2202-09-25.56,0.0000001,1420,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2201-09-25.42,0.0000001,1422,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2201-09-25.38,0.0000001,1420,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2201-09-25.33,0.0000001,1422,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2201-09-25.32,0.0000001,1422,-5.21,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2201-09-25.30,0.0000001,1422,-5.21,,a0101955,74000000000,0.49,20.6
(2023 TB2),2116-09-01.26,0.0000046,5.286,-5.21,0,bK23T02B,260000000,0.058,23.8
101955 Bennu (1999 RQ36),2209-09-25.22,0.0000001,1420,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2208-09-25.13,0.0000001,1422,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2207-09-25.93,0.0000001,1421,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2207-09-25.75,0.0000001,1421,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2206-09-25.64,0.0000001,1422,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2206-09-25.63,0.0000001,1423,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2205-09-25.35,0.0000001,1420,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2205-09-25.28,0.0000001,1420,-5.22,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2205-09-25.26,0.0000001,1421,-5.22,,a0101955,74000000000,0.49,20.6
(2006 JE),2106-05-02.31,0.0000011,25.4,-5.22,0,bK06J00E,260000000,0.058,23.8
(2008 UB7),2079-11-01.43,0.0000012,14.39,-5.22,0,bK08U07B,260000000,0.058,23.8
(2006 QN111),2079-08-16.47,0.0000019,7.967,-5.22,0,bK06QB1N,280000000,0.06,23.8
101955 Bennu (1999 RQ36),2213-09-25.23,0.0000001,1420,-5.23,,a0101955,74000000000,0.49,20.6
